key,value,date
Young & Crazy Frankie Ballard,10,06/13/15
Young & Crazy Frankie Ballard,11,06/20/15
Young & Crazy Frankie Ballard,16,06/27/15
Young & Crazy Frankie Ballard,21,07/04/15
Young & Crazy Frankie Ballard,21,07/11/15
Young & Crazy Frankie Ballard,25,07/18/15
Young & Crazy Frankie Ballard,25,07/25/15
Young & Crazy Frankie Ballard,36,08/01/15
Young & Crazy Frankie Ballard,36,08/08/15
Young & Crazy Frankie Ballard,40,08/15/15
Young & Crazy Frankie Ballard,43,08/22/15
Young & Crazy Frankie Ballard,46,08/29/15
Young & Crazy Frankie Ballard,45,09/05/15
Young & Crazy Frankie Ballard,30,09/12/15
Young & Crazy Frankie Ballard,11,09/19/15
Young & Crazy Frankie Ballard,0,09/26/15
Young & Crazy Frankie Ballard,0,10/03/15
Young & Crazy Frankie Ballard,0,10/10/15
Young & Crazy Frankie Ballard,0,10/17/15
Young & Crazy Frankie Ballard,0,10/24/15
Young & Crazy Frankie Ballard,0,10/31/15
Young & Crazy Frankie Ballard,0,11/07/15
Young & Crazy Frankie Ballard,0,11/14/15
Young & Crazy Frankie Ballard,0,11/21/15
Young & Crazy Frankie Ballard,0,11/28/15
Young & Crazy Frankie Ballard,0,12/05/15
Young & Crazy Frankie Ballard,0,12/12/15
Young & Crazy Frankie Ballard,0,12/19/15
Young & Crazy Frankie Ballard,0,12/26/15
Masterpiece Jessie J,36,01/03/15
Masterpiece Jessie J,33,01/10/15
Masterpiece Jessie J,0,01/17/15
Masterpiece Jessie J,0,01/24/15
Masterpiece Jessie J,0,01/31/15
Masterpiece Jessie J,0,02/07/15
Masterpiece Jessie J,0,02/14/15
Masterpiece Jessie J,0,02/21/15
Masterpiece Jessie J,0,02/28/15
Masterpiece Jessie J,0,03/07/15
Masterpiece Jessie J,0,03/14/15
Masterpiece Jessie J,0,03/21/15
Masterpiece Jessie J,16,03/28/15
Masterpiece Jessie J,0,04/04/15
Masterpiece Jessie J,0,04/11/15
Masterpiece Jessie J,0,04/18/15
Masterpiece Jessie J,0,04/25/15
Masterpiece Jessie J,0,05/02/15
Masterpiece Jessie J,0,05/09/15
Masterpiece Jessie J,0,05/16/15
Masterpiece Jessie J,0,05/23/15
Masterpiece Jessie J,0,05/30/15
Masterpiece Jessie J,0,06/06/15
Masterpiece Jessie J,0,06/13/15
Masterpiece Jessie J,0,06/20/15
Masterpiece Jessie J,0,06/27/15
Masterpiece Jessie J,0,07/04/15
Masterpiece Jessie J,0,07/11/15
Masterpiece Jessie J,0,07/18/15
Masterpiece Jessie J,0,07/25/15
Masterpiece Jessie J,0,08/01/15
Masterpiece Jessie J,0,08/08/15
Masterpiece Jessie J,0,08/15/15
Masterpiece Jessie J,0,08/22/15
Masterpiece Jessie J,0,08/29/15
Masterpiece Jessie J,0,09/05/15
Masterpiece Jessie J,0,09/12/15
Masterpiece Jessie J,0,09/19/15
Masterpiece Jessie J,0,09/26/15
Masterpiece Jessie J,0,10/03/15
Masterpiece Jessie J,0,10/10/15
Masterpiece Jessie J,0,10/17/15
Masterpiece Jessie J,0,10/24/15
Masterpiece Jessie J,0,10/31/15
Masterpiece Jessie J,0,11/07/15
Masterpiece Jessie J,0,11/14/15
Masterpiece Jessie J,0,11/21/15
Masterpiece Jessie J,0,11/28/15
Masterpiece Jessie J,0,12/05/15
Masterpiece Jessie J,0,12/12/15
Masterpiece Jessie J,0,12/19/15
Masterpiece Jessie J,0,12/26/15
Levels Nick Jonas,0,01/03/15
Levels Nick Jonas,0,01/10/15
Levels Nick Jonas,0,01/17/15
Levels Nick Jonas,0,01/24/15
Levels Nick Jonas,0,01/31/15
Levels Nick Jonas,0,02/07/15
Levels Nick Jonas,0,02/14/15
Levels Nick Jonas,0,02/21/15
Levels Nick Jonas,0,02/28/15
Levels Nick Jonas,0,03/07/15
